,MouseId,AP_coordinate,Division,Region,Normalized_TH_intensity
0,Mouse1,1.06,CeL,CeL,1.444095361
1,Mouse1,0.94,CeL,CeL,1.700991864
2,Mouse1,1.06,CeL,CeL,1.626655697
3,Mouse2,1.06,CeL,CeL,1.803699236
4,Mouse2,0.94,CeL,CeL,1.44491408
5,Mouse2,1.06,CeL,CeL,1.700119355
6,Mouse1,1.06,CeC,CeCfd,0.564775457
7,Mouse1,0.94,CeC,CeCfd,0.657973922
8,Mouse1,1.06,CeC,CeCfd,0.759358289
9,Mouse2,1.06,CeC,CeCfd,0.496421391
10,Mouse2,0.94,CeC,CeCfd,0.520995011
11,Mouse2,1.06,CeC,CeCfd,0.733141038
12,Mouse1,1.06,CeC,CeCfv,0.18092774
13,Mouse1,0.94,CeC,CeCfv,0.09350273
14,Mouse1,1.06,CeC,CeCfv,0.168243521
15,Mouse2,1.06,CeC,CeCfv,0.200804182
16,Mouse2,0.94,CeC,CeCfv,0.131998337
17,Mouse2,1.06,CeC,CeCfv,0.190073603
18,Mouse1,1.34,CeC,CeCc,0.321895861
19,Mouse1,1.34,CeC,CeCc,0.307518372
20,Mouse1,1.46,CeC,CeCc,0.37118308
21,Mouse1,1.58,CeC,CeCc,0.422337379
22,Mouse2,1.22,CeC,CeCc,0.330372617
23,Mouse1,1.34,CeL,CeL,0.960080107
24,Mouse1,1.34,CeL,CeL,0.900602977
25,Mouse1,1.46,CeL,CeL,1.503238599
26,Mouse1,1.58,CeL,CeL,1.458884495
27,Mouse2,1.22,CeL,CeL,1.066182842
28,Mouse1,1.06,CeM,CeM,0.833025319
29,Mouse1,0.94,CeM,CeM,0.984843419
30,Mouse1,1.06,CeM,CeM,0.646976553
31,Mouse1,1.34,CeM,CeM,0.734312417
32,Mouse1,1.34,CeM,CeM,0.849349915
33,Mouse1,1.46,CeM,CeM,1.067812293
34,Mouse1,1.58,CeM,CeM,1.00831856
35,Mouse2,1.06,CeM,CeM,0.666586248
36,Mouse2,0.94,CeM,CeM,0.593264967
37,Mouse2,1.06,CeM,CeM,0.638651283
38,Mouse2,1.22,CeM,CeM,0.740684575
39,Mouse3,0.94,CeC,CeCfv,0.612698413
40,Mouse3,0.94,CeC,CeCfd,1.025396825
41,Mouse3,0.94,CeL,CeL,2.047619048
42,Mouse3,0.94,CeM,CeM,1.342857143
43,Mouse3,1.46,CeC,CeCc,0.392857143
44,Mouse3,1.46,CeL,CeL,1.17281106
45,Mouse3,1.46,CeM,CeM,0.493087558
46,Mouse4,1.06,CeC,CeCfv,0.189903846
47,Mouse4,1.06,CeC,CeCfd,0.586538462
48,Mouse4,1.06,CeL,CeL,1.193509615
49,Mouse4,1.06,CeM,CeM,0.546875
50,Mouse4,0.94,CeC,CeCfv,0.019094767
51,Mouse4,0.94,CeC,CeCfd,0.408769448
52,Mouse4,0.94,CeL,CeL,1.04950495
53,Mouse4,0.94,CeM,CeM,0.322489392
54,Mouse4,1.46,CeC,CeCc,0.452991453
55,Mouse4,1.46,CeL,CeL,1.675213675
56,Mouse4,1.46,CeM,CeM,0.544159544
